# Acid Tests baseline - captured GB frames, 160x144 PNG.
# emulator: gameroy
# generated: Wed, 22 Jul 2026 22:44:38 +0000
# source: https://tomek.rekawek.eu/GBEmulatorShootout/
# name|status|frames|image
acid/which.gb (DMG)|INFO|0|acid/which.gb (DMG).png
mooneye/acceptance/rapid_di_ei.gb|PASS|0|mooneye/acceptance/rapid_di_ei.png
mooneye/acceptance/reti_intr_timing.gb|PASS|0|mooneye/acceptance/reti_intr_timing.png
mooneye/acceptance/reti_timing.gb|PASS|0|mooneye/acceptance/reti_timing.png
mooneye/acceptance/ret_cc_timing.gb|PASS|0|mooneye/acceptance/ret_cc_timing.png
mooneye/acceptance/ret_timing.gb|PASS|0|mooneye/acceptance/ret_timing.png
mooneye/acceptance/rst_timing.gb|PASS|0|mooneye/acceptance/rst_timing.png
mooneye/acceptance/serial/boot_sclk_align-dmgABCmgb.gb|PASS|0|mooneye/acceptance/serial/boot_sclk_align-dmgABCmgb.png
mooneye/acceptance/timer/div_write.gb|PASS|0|mooneye/acceptance/timer/div_write.png
mooneye/acceptance/timer/rapid_toggle.gb|PASS|0|mooneye/acceptance/timer/rapid_toggle.png
mooneye/acceptance/timer/tim00.gb|PASS|0|mooneye/acceptance/timer/tim00.png
mooneye/acceptance/timer/tim00_div_trigger.gb|PASS|0|mooneye/acceptance/timer/tim00_div_trigger.png
mooneye/acceptance/timer/tim01.gb|PASS|0|mooneye/acceptance/timer/tim01.png
mooneye/acceptance/timer/tim01_div_trigger.gb|PASS|0|mooneye/acceptance/timer/tim01_div_trigger.png
mooneye/acceptance/timer/tim10.gb|PASS|0|mooneye/acceptance/timer/tim10.png
mooneye/acceptance/timer/tim10_div_trigger.gb|PASS|0|mooneye/acceptance/timer/tim10_div_trigger.png
mooneye/acceptance/timer/tim11.gb|PASS|0|mooneye/acceptance/timer/tim11.png
mooneye/acceptance/timer/tim11_div_trigger.gb|PASS|0|mooneye/acceptance/timer/tim11_div_trigger.png
mooneye/acceptance/timer/tima_reload.gb|PASS|0|mooneye/acceptance/timer/tima_reload.png
mooneye/acceptance/timer/tima_write_reloading.gb|PASS|0|mooneye/acceptance/timer/tima_write_reloading.png
mooneye/acceptance/timer/tma_write_reloading.gb|PASS|0|mooneye/acceptance/timer/tma_write_reloading.png
mooneye/emulator-only/mbc1/bits_bank1.gb|PASS|0|mooneye/emulator-only/mbc1/bits_bank1.png
mooneye/emulator-only/mbc1/bits_bank2.gb|PASS|0|mooneye/emulator-only/mbc1/bits_bank2.png
mooneye/emulator-only/mbc1/bits_mode.gb|PASS|0|mooneye/emulator-only/mbc1/bits_mode.png
mooneye/emulator-only/mbc1/bits_ramg.gb|PASS|0|mooneye/emulator-only/mbc1/bits_ramg.png
mooneye/emulator-only/mbc1/multicart_rom_8Mb.gb|PASS|0|mooneye/emulator-only/mbc1/multicart_rom_8Mb.png
mooneye/emulator-only/mbc1/ram_256kb.gb|PASS|0|mooneye/emulator-only/mbc1/ram_256kb.png
mooneye/emulator-only/mbc1/ram_64kb.gb|PASS|0|mooneye/emulator-only/mbc1/ram_64kb.png
mooneye/emulator-only/mbc1/rom_16Mb.gb|PASS|0|mooneye/emulator-only/mbc1/rom_16Mb.png
